customer_tweet_id,customer_message,intent,predicted_intent,intent_confidence,escalation,predicted_escalation,best_similarity,draft_reply,reply_word_count,generic_reply,customer_reply_word_overlap
1989558.0,@119332 @115990 Don't go to #Sprint. They really suck. 😫😩😠😡😖😣☹️🙁😕,General Complaint / Other,General Complaint / Other,0.3516349957502563,Human,Human,0.4096050720123882,"@494820 Hey there, what seems to be the issue? -AS",10,False,0.0
253188.0,I like how @115714 tried to charge bæ for 2 months AFTER he disconnected his line 2 yrs ago. &amp; now have debt collectors bugging. 😑,Billing / Payment,Billing / Payment,0.6496070238094882,Human,Human,0.2822488757147264,@487676 Have you done a factory reset or gotten new SIM cards?,12,False,0.091
1923463.0,@sprintcare WHO THE HELL HAD THE IDEA TO DO MAINTENANCE ON A RELEASE DAY???? STUPID!!!!!!!!,Website / App Issue,General Complaint / Other,0.4871193160414873,Auto,Auto,0.3847707208477349,@434346 Hi there! We do apologize for the inconvenient. We were experiencing some problems with our website but it has been resolved. -SV,23,False,0.0
1923697.0,"@115911 Thank you! Here I come!

.@115714 .@sprintcare FINAL STRAW GUYS, 20 YEAR CUSTOMER!",General Complaint / Other,General Complaint / Other,0.3498377972003457,Human,Human,0.4068404372348636,"@429657 I'm sorry for the trouble, let's get this fixed for you. Are you still having issues preordering the device? -SA",21,False,0.0
1351170.0,@115714 upset. Was on phone for 35 min for a third time and almost done ordering the new iPhone and my call gets dropped. I haven’t moved!,Customer Service Issue,Order / Upgrade / iPhone,0.8399824836981443,Human,Auto,0.3663103968602273,"@217320 This is very concerning to us. We need to look into this right away.Please send us a Direct Message, so that we can further assist you. -KF https://t.co/rMApsV8PQY",29,False,0.0
284629.0,@sprintcare paying a bill is like a car payment. Can’t get no where and you don’t offer anything of loyal customers!! Can’t afford this,Billing / Payment,Billing / Payment,0.965150269832605,Human,Human,0.3535523149648689,@293999 Hi there! What promotion are you referring to? Please let us know. - MF,15,False,0.0
624763.0,"@sprintcare I have the iphone in my cart, but the cart won't load. WHY",Website / App Issue,Order / Upgrade / iPhone,0.633648135672749,Auto,Auto,0.6183920893296566,"@427245 I'm sorry for the trouble, the website is in maintenance until 3:00AM central time. We appreciate your patience. -DC",20,False,0.0
1827792.0,@sprintcare No.,General Complaint / Other,General Complaint / Other,0.7848111100888455,Auto,Auto,1.0,"@409759 This sounds concerning. Send us a Direct Message, so that we can further assist you. What exactly are you experiencing? -SD",22,False,0.0
334279.0,@115714 https://t.co/1dt2Kfn152,General Complaint / Other,General Complaint / Other,0.9503466375375352,Human,Auto,1.0000000000000002,"@709350 Hey, what's going? I'm here to assist! - AW",10,False,0.0
2554473.0,"@ATT, please put competent people on the phone. Don’t put someone on the phone that’s going to claim that research shows they have the best service! I’m quite sure you paid for that research. Learn how business works!! @115725 @115714 @115911 Can you do better!",Customer Service Issue,Cancellation / Switching / Retention,0.5340511293647612,Human,Human,0.2615282652837116,@651861 Good morning.  Please send us a DM explaining the nature of your concern.  thank you. -Felicia R,18,True,0.048
962563.0,@115714 everywhere I go our service is so slow and low.... for the price I pay.. I expect better...,Network / Connectivity,Billing / Payment,0.9402601440821275,Human,Human,0.627098146892183,"@368637 Hi Klee, we would like to take a look into this. Please DM us more. -AC",17,False,0.0
2679539.0,If @115714 don’t stay out of my inbox about the iPhone X. #NotOneMoreDime https://t.co/yEb8UUI8ah,Order / Upgrade / iPhone,Order / Upgrade / iPhone,0.6934529279358773,Auto,Auto,0.355509766880189,"@251683 Hello! Please send us a DM, due to character limitations we won't be able to further assist you. -MH",20,True,0.0
519064.0,@115714 #Offline Fix yo shit please. @49552,Network / Connectivity,General Complaint / Other,0.5553570532875148,Human,Auto,0.4752533832210749,"@173003 Hello there! This concerns us, and we'd like to assist. Please follow us and send us a Direct Message with a brief description of the issue you're experiencing. - RC",31,False,0.333
1317133.0,"@sprintcare Again, I'm not receiving text messages on my Galaxy S8+ @134924 This is happening on other providers too!",Network / Connectivity,Website / App Issue,0.58563046001846,Human,Auto,0.5283814311637085,@772305 That's not what we like to read! Please send us a DM to further assist. - DB,18,True,0.0
1967452.0,FYI #sprint sucks!!,General Complaint / Other,General Complaint / Other,0.4564330497756434,Human,Auto,0.7374405398022441,@397161 Can you tell us why you feel this way? Please send us a DM so we can chat further. -ES,21,True,0.0
147671.0,@115714 Not grateful for awful service sprint! Canceling today,Cancellation / Switching / Retention,Cancellation / Switching / Retention,0.4611338518940175,Human,Human,0.5082887077117819,"@732107 Hey, please provide me with your contact number an a time best suitable to contact you. -Resolution Sup AM",20,False,0.0
2251719.0,It’s really sad about @sprintcare because they're causing a huge mess and loss of a long time customer over a $15 per month overcharge and a $100 credit that was not applied to the account.,Billing / Payment,Billing / Payment,0.69834722177873,Human,Human,0.2636634922349538,"@373767 Hi there! Please send us a DM and follow us at @Sprintcare, so that we can further assist you. -BJ https://t.co/rMApsV8PQY",22,True,0.105
1170762.0,"@sprintcare fuck sprint , they worst then metro pcs &amp; boost",General Complaint / Other,General Complaint / Other,0.4665765571122138,Human,Auto,0.4390672324226796,@129473 Your post concerns us deeply. Please DM us so we can investigate. -ES,14,False,0.0
2203953.0,@644430 @115714 $22 per month,Billing / Payment,Billing / Payment,0.3974297365011315,Human,Human,0.8635294143170613,@505432 Where are you seeing that? - LP,8,False,0.0
933929.0,I was just hoping I could return 1 of the 6Plus I have on my account and keep this phone I just bought so I don’t take a loss on my upgrade. https://t.co/6J8iawiLM3,Order / Upgrade / iPhone,Order / Upgrade / iPhone,0.4807910450449806,Human,Auto,0.295165308400235,@725194 We are glad to know you did. Great piece of technology! -LC,13,False,0.0
2372542.0,@115714 I wish you would know how incredibly frustrating it is to speak with your customer service reps from the Philippines. Simple questions with no help.,Customer Service Issue,Network / Connectivity,0.3956197436555191,Human,Human,0.3754027131044872,@332295 This is really concerning to us. We would like to look into this for you. Can you let us know the issue you're experiencing? -PP,26,False,0.125
2039220.0,@115714 Thanks to your neglect now my account @116035 incurred an NSF fee,Billing / Payment,Billing / Payment,0.4585205052308307,Human,Human,0.567370222196186,@289066 Can you tell us what issue you had so that we can further assist you? -AH,17,False,0.0
1889441.0,"@sprintcare You assholes are why I am visiting ATT today! I am well beyond my contract and you treaty me like a dummy? Wow! Bullies, not support!",Customer Service Issue,Cancellation / Switching / Retention,0.9940524165199228,Human,Human,0.3351777345245911,"@545809 Pokémon trainers can pass by our pokéstops in order to ask for promotions, for example: the Phone skins. - JP",21,False,0.0
1837979.0,Thanks again @sprintcare charged for an upgrade I never received and Made my phone ineligible for upgrade til 2019,Billing / Payment,Order / Upgrade / iPhone,0.7842618498541019,Human,Auto,0.4918416879158016,@453435 Please send us a PM so we can look into this and further assist you. -R.A,17,False,0.0
1812477.0,@sprintcare It won’t connect to the cellular network. I spent an hour chatting with someone last night trying to resolve this issue to no avail.,Network / Connectivity,Cancellation / Switching / Retention,0.2130759250605132,Human,Human,0.2859784042552266,"@345450 We'd love to help. The only way we can confirm your issues to provide any assistance, is to access your old account. -RID",24,False,0.0
2697398.0,Looks like I have to deal with @sprintcare once again today 🤦🏽‍♂️,General Complaint / Other,Customer Service Issue,0.3051750668875041,Human,Human,0.5150014001594029,"@215006 Hey! Visit: https://t.co/DyvyNSpLMO to see this and the rest of our available phones. For any question, you may use our Live Chat. - SB",25,False,0.0
383629.0,"What if @115714's website only worked as well as their customer service reps? Oh, wait...",Website / App Issue,Website / App Issue,0.7814814409674165,Human,Auto,0.44449221569095,"@440253 Hey Bryan, It seems like you are experiencing some issues with our website, can you send me a Dm. -KJ",21,False,0.1
1473490.0,@sprintcare Yes most definitely,Customer Service Issue,General Complaint / Other,0.5213011839302497,Human,Auto,0.766748765833053,@527627 Please send us a DM so we can send the secure link.,13,True,0.0
