customer_tweet_id,customer_message,tweet_id_brand,brand_reply,created_at
3.0,@sprintcare I have sent several private messages and no one is responding as usual,1,@115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.,Tue Oct 31 22:10:47 +0000 2017
5.0,@sprintcare I did.,4,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.,Tue Oct 31 21:54:49 +0000 2017
8.0,@sprintcare is the worst customer service,6,"@115712 Can you please send us a private message, so that I can gain further details about your account?",Tue Oct 31 21:46:24 +0000 2017
12.0,@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,11,"@115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC",Tue Oct 31 22:10:35 +0000 2017
16.0,@sprintcare Since I signed up with you....Since day 1,15,"@115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA",Tue Oct 31 20:03:31 +0000 2017
18.0,"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.",17,"@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA",Tue Oct 31 19:59:13 +0000 2017
20.0,"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK",19,@115715 Please send me a private message so that I can send you the link to access your account. -FR,Tue Oct 31 22:10:10 +0000 2017
1288.0,@115714 fuck you fix my connection,1285,@115950 This is really concerning to us and we would love to help. Can you let us know what issues you are having with your connection. KB,Tue Oct 31 22:29:15 +0000 2017
1287.0,@sprintcare Well if you could fix your fucking potato towers out here in Albuquerque that would be a start. https://t.co/qyDs2dbgQI,1289,@115950 Hi there! Service issues huh? Let us take a look into this for you. Shoot us a DM to assist further. -JA,Thu Nov 09 00:50:31 +0000 2017
1293.0,@115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate,1291,@115712 Just click ‘Message’ at the top of your profile. We're always here and eager to assist.,Tue Oct 31 22:26:44 +0000 2017
1292.0,@sprintcare I've sent several private messages!!! and no one responds!,1294,@115712 Do you have a good contact number where you can be reached?,Tue Oct 31 22:34:30 +0000 2017
1293.0,@115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate,1296,@115712 Do you have a good contact number where you can be reached? Please send through the private link.,Tue Oct 31 22:26:36 +0000 2017
1299.0,@115913 I'm a #TMobile customer getting the runaround from @115714 to unlock ported phones. Now my kids don't have phones 2nite. Help!,1298,@115951 Get started here: https://t.co/dYSbRQ3CL0 Conversation will be continued in your secured web browser. -FR,Tue Oct 31 22:25:24 +0000 2017
1299.0,@115913 I'm a #TMobile customer getting the runaround from @115714 to unlock ported phones. Now my kids don't have phones 2nite. Help!,1300,@115951 Hello please go to the link I will need additional information to work on getting phones unlocked. -FR,Tue Oct 31 22:24:30 +0000 2017
1303.0,"@115714 After those 12 months, if you decided to upgrade what happens to the remaining 6 months if you’re on a 18 mo Flex lease like me?",1302,@115952 Hey we would love to further educate you on our amazing Sprint Flex Lease option. Send us a DM lets chat. -CW,Tue Oct 31 22:21:37 +0000 2017
1312.0,@115714 you wanna actually turn on your internet towers to work or nah?,1311,"@115953 Hey Tayler, having service issues? Shoot us a DM for further assistance! -RW",Tue Oct 31 22:18:58 +0000 2017
2102.0,@sprintcare Yes I do. You want me to dm you or just write it on the comments???,2101,@116169 Yes dm please.,Tue Oct 31 22:38:41 +0000 2017
2104.0,@115714 @177 I haven’t received no type of new besides my Oder is pending for day.,2103,"@116169 Hello, do you have an order number we can check for you?",Tue Oct 31 22:36:58 +0000 2017
2111.0,"@115714 customer service 👎! 4 different people said they have no idea how to help, the two people who actually have tried did it wrong 😡",2110,@116171 Good afternoon. This is distressing. Send me a DM so I can see what happened.,Tue Oct 31 22:34:03 +0000 2017
2114.0,@115714 chk ur latest bill. I paid for note 8 shipping w/debit when ordered. Latest bill shows ship charge. This happened to other friends.,2112,"@116172 Hey :)! Let's look into this, DM us. -CS",Tue Oct 31 22:32:39 +0000 2017
2116.0,"@sprintcare You’re a bunch of crooks, you don’t care about happy customers, y’all just want money, save me the BS",2115,@116173 Hey Tiffany! I'd like to work with you on your issues. Can you shoot us a DM for us to have a little chat? -ResolutionSup DC,Tue Oct 31 22:32:37 +0000 2017
2121.0,@115714 is honestly trash,2120,@116173 This is concerning. What makes you feel this way? What seems to be the issue? We'll be happy to assist. -JD,Tue Oct 31 11:53:20 +0000 2017
3178.0,"@sprintcare mine and my brothers data is barely working, we have full signal but nothing is loading &amp; when it does load its very slow, help!",3176,"@116445 You’ve reached the right place, please shoot us a DM, in order for us to further assist you. -AA",Tue Oct 31 22:58:30 +0000 2017
3181.0,I want to go see to @115725 and leave @115714 they are liars,3179,@116446 What have you feeling this way? We would love to assist you.-DD,Tue Oct 31 22:56:16 +0000 2017
3180.0,@sprintcare Don’t worry about it.... I’m just going to see what other companies offer,3182,"@116446 We understand, but in order for us to further assist you, you need to inform us on your issue. We would hate to see you go-DD",Tue Oct 31 22:59:47 +0000 2017
3185.0,@sprintcare complete ineptness!,3184,@115712 Please DM your contact number and Team @116447 will reach out asap to get this resolved.,Tue Oct 31 22:53:40 +0000 2017
3188.0,@116447 - And the issue is still not fixed!  No one can help!  All the info I get is wrong!  I have been a customer for 12 yrs! https://t.co/MQIImu0yiR,3187,@115712 I understand how frustrating this is and I'm here to assist. I do apologize that I'm not showing the contact number or private message.,Tue Oct 31 22:45:12 +0000 2017
4309.0,Ugh @115714 stop being such a tease https://t.co/OA5gkGMduc,4307,"@116716 Good day, please disregard the text message that you are receiving concerning your device being ready to pick. -KK",Tue Oct 31 23:04:33 +0000 2017
4311.0,@115714 Sprint always going the distance for you coast to coast and beyond,4310,@116718 Great! Have you registered at https://t.co/drNtYldHij?,Tue Oct 31 23:01:18 +0000 2017
